與	與/SL
성폭행범	성폭행/NNG+범/XSN
`화학적	`/SW+화학적/NNG
거세'	거세/NNG+'/SS
전면확대	전면확대/NNG
추진	추진/NNG

성범죄	성범죄/NNG
친고제	친고/NNG+제/XSN
폐지	폐지/NNG
및	및/MAG
신상공개	신상공개/NNG
2000년부터	2000/SN+년/NNB+부터/JX
확대적용도	확대적용/NNG+도/JX
추진`성범죄와의	추진/NNG+`/SW+성범죄/NNG+와/JKB+의/JKG
전면전'	전면전/NNG+'/SS

30일	30/SN+일/NNB
고위당정회의	고위당정회의/NNG
개최(서울=연합뉴스)	개최/NNG+(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김범현	김범현/NNP
이준서	이준서/NNP
기자	기자/NNG
=	=/SW
새누리당은	새누리당/NNP+은/JX
성폭행범에	성폭행범/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성충동	성충동/NNP
약물치료,	약물치료/NNG+,/SP
이른바	이른바/MAG
`화학적	`/SW+화학적/NNG
거세'를	거세/NNG+'/SS+를/JKO
전면	전면/NNG
확대하고	확대하/VV+고/EC
모든	모든/MM
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
친고제를	친고/NNG+제/XSN+를/JKO
폐지하는	폐지하/VV+는/ETM
방안을	방안/NNG+을/JKO
추진키로	추진하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

당	당/NNG
아동ㆍ여성	아동/NNG+ㆍ/SP+여성/NNG
성범죄	성범죄/NNG
근절특위는	근절특위/NNG+는/JX
26일	26/SN+일/NNB
긴급회의를	긴급회의/NNG+를/JKO
개최,	개최/NNG+,/SP
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
성범죄	성범죄/NNG
근절	근절/NNG
대책을	대책/NNG+을/JKO
결정했다	결정하/VV+였/EP+다/EC

특위	특위/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
김희정	김희정/NNP
의원은	의원/NNG+은/JX
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
한	한/MM
브리핑에서	브리핑/NNG+에서/JKB
"새누리당은	"/SS+새누리당/NNP+은/JX
오늘	오늘/NNG
이	이/MM
시간부터	시간/NNG+부터/JX
성범죄와의	성범죄/NNG+와/JKB+의/JKG
전면전을	전면전/NNG+을/JKO
선포한다"고	선포하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

특위는	특위/NNG+는/JX
성범죄에	성범죄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
실효적	실효/NNG+적/XSN
처벌을	처벌/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위해	위하/VV+여/EC
우선	우선/MAG
`16세	`/SW+16/SN+세/NNB
이하	이하/NNG
청소년'을	청소년/NNG+'/SS+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
성범죄에만	성범죄/NNG+에/JKB+만/JX
국한된	국한되/VV+ㄴ/ETM
화학적	화학적/NNG
거세를	거세/NNG+를/JKO
모든	모든/MM
성폭력	성폭력/NNG
범죄로	범죄/NNG+로/JKB
확대한다는데	확대하/VV+ㄴ다는데/EC
의견을	의견/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

회의에서는	회의/NNG+에서/JKB+는/JX
"수술적	"/SS+수술적/NNG
거세까지	거세/NNG+까지/JX
검토해야	검토하/VV+여야/EC
