장애인체육회	장애인체육회/NNG
간부,	간부/NNG+,/SP
직원	직원/NNG
성희롱	성희롱/NNG
'해임'	'/SS+해임/NNG+'/SS

대한장애인체육회가	대한장애인체육회/NNP+가/JKS
‘2012년	‘/SL+2012/SN+년/NNB
런던장애인올림픽’	런던/NNP+장애인올림픽/NNG+’/SL
훈련시	훈련/NNG+시/NNB
코치가	코치/NNP+가/JKS
폭행과	폭행/NNG+과/JC
폭언은	폭언/NNG+은/JX
물론	물론/MAG
선수들로부터	선수/NNG+들/XSN+로부터/JKB
금품을	금품/NNG+을/JKO
수수하는	수수하/VV+는/ETM
사건이	사건/NNG+이/JKS
발생해	발생하/VV+여/EC
징계를	징계/NNG+를/JKO
추진하는	추진하/VV+는/ETM
가운데,	가운데/NNG+,/SP
올해	올해/NNG
상반기에도	상반기/NNG+에/JKB+도/JX
심각한	심각하/VA+ㄴ/ETM
직장내	직장/NNG+내/NNB
성희롱	성희롱/NNG
사건이	사건/NNG+이/JKS
발생했던	발생하/VV+였/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
문화체육관광방송통신위원회	문화체육관광방송통신/NNP+위원회/NNG
김기현	김기현/NNP
의원(새누리당)이	의원/NNG+(/SS+새누리당/NNP+)/SS+이/JKS
대한장애인체육회로부터	대한/NNP+장애인체육회/NNG+로부터/JKB
제출받은	제출/NNG+받/VV+은/ETM
징계처분	징계처분/NNG
현황과	현황/NNG+과/JC
징계의결서에	징계의결서/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
전	전/NNG
A	A/SL
경영지원부장이	경영지원부/NNG+장/XSN+이/JKS
자신의	자신/NNG+의/JKG
직위를	직위/NNG+를/JKO
이용해	이용하/VV+여/EC
수차례	수차례/NNG
성희롱	성희롱/NNG
한	한/MM
사실이	사실/NNG+이/JKS
인정되어	인정되/VV+어/EC
해임된	해임되/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
28일	28/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

전	전/MM
A	A/SL
경영지원부장은	경영지원부/NNG+장/XSN+은/JX
일반직	일반직/NNG
사원	사원/NNG
채용으로	채용/NNG+으로/JKB
일정기간	일정기간/NNG
수습근무	수습근무/NNG
후,	후/NNG+,/SP
평가를	평가/NNG+를/JKO
통해	통하/VV+여/EC
정규직	정규직/NNG
발령여부를	발령여부/NNG+를/JKO
조건으로	조건/NNG+으로/JKB
지난해	지난해/NNG
11월	11/SN+월/NNB
입사한	입사하/VV+ㄴ/ETM
계약직	계약직/NNG
직원에게	직원/NNG+에게/JKB
2012년	2012/SN+년/NNB
3월2일까지	3/SN+월/NNB+2/SN+일/NNB+까지/JX
자신의	자신/NNG+의/JKG
직위를	직위/NNG+를/JKO
이용해	이용하/VV+여/EC
수차례	수차례/NNG
성희롱을	성희롱/NNG+을/JKO
한	하/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
인정됐다	인정되/VV+었/EP+다/EF

특히	특히/MAG
A	A/SL
전	전/NNP
부장은	부장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
12월1일	12/SN+월/NNB+1/SN+일/NNB
인사위원회에서	인사위원회/NNG+에서/JKB
동일한	동일하/VA+ㄴ/ETM
소행으로	소행/NNG+으로/JKB
정직의	정직/NNG+의/JKG
처분을	처분/NNG+을/JKO
받는	받/VV+는/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

김기현	김기현/NNP
의원은	의원/NNG+은/JX
“장애인의	“/SN+장애인/NNG+의/JKG
건강과	건강/NNG+과/JC
인권	인권/NNG
향상을	향상/NNG+을/JKO
위해	위하/VV+여/EC
노력해야	노력하/VV+여야/EC
할	하/VX+ㄹ/ETM
장애인체육회가	장애인체육회/NNG+가/JKS
오히려	오히려/MAG
인권과	인권/NNG+과/JC
범죄의	범죄/NNG+의/JKG
심각한	심각하/VA+ㄴ/ETM
사각지대에	사각지대/NNG+에/JKB
놓여있는	놓열/VV+있/VX+는/ETM
모습”이라면서	모습”/NNG+이/VCP+라면서/EC
“장애인체육회가	“/SL+장애인체육회/NNG+가/JKS
먼저	먼저/MAG
솔선수범해서	솔선수범하/VV+여서/EC
실태조사와	실태조사/NNG+와/JC
인권보호	인권보호/NNG
대책을	대책/NNG+을/JKO
마련해야	마련하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC
