<밝은	</SS+밝/VA+은/ETM
패럴림픽	패럴림픽/NNG
분위기…카메라	분위기/NNG+…/SE+카메라/NNG
앞에서	앞/NNG+에서/JKB
다시	다시/MAG
한번>	한번/NNG+>/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
전명훈	전명훈/NNP
기자	기자/NNG
=	=/SW
2012	2012/SN
런던	런던/NNP
패럴림픽	패럴림픽/NNG
보치아	보치아/NNP
금메달리스트	금메달리스트/NNG
최예진(21)이	최예진/NNP+(/SS+21/SN+)/SS+이/JKS
조금은	조금/NNG+은/JX
어색한	어색하/VA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
카메라	카메라/NNG
앞에	앞/NNG+에/JKB
섰다	서/VV+었/EP+다/EC

그와	그/NP+와/JKB
함께	함께/MAG
금메달을	금메달/NNG+을/JKO
목에	목/NNG+에/JKB
걸었던	걸/VV+었/EP+던/ETM
어머니	어머니/NNG
문우영(50)	문우영/NNP+(/SS+50/SN+)/SS
트레이너의	트레이너/NNG+의/JKG
표정도	표정/NNG+도/JX
굳어	굳/VV+어/EC
있긴	있/VX+기/ETN+ㄴ/JX
마찬가지였다	마찬가지/NNG+이/VCP+었/EP+다/EF

커다란	커다랗/VA+ㄴ/ETM
카메라와	카메라/NNG+와/JC
조명	조명/NNG
장비	장비/NNG
사이에서	사이/NNG+에서/JKB
좀처럼	좀처럼/MAG
웃는	웃/VV+는/ETM
표정을	표정/NNG+을/JKO
짓지	짓/VV+지/EC
못하던	못하/VX+던/ETM
모녀는	모녀/NNG+는/JX
조세현	조세현/NNP
사진작가가	사진작가/NNG+가/JKS
꺼낸	꺼내/VV+ㄴ/ETM
사진을	사진/NNG+을/JKO
보고	보/VV+고/EC
웃음을	웃음/NNG+을/JKO
터뜨렸다	터뜨리/VV+었/EP+다/EF

거의	거의/MAG
동시에	동시/NNG+에/JKB
밝은	밝/VA+은/ETM
플래시가	플래시/NNG+가/JKS
터졌다	터지/VV+었/EP+다/EC

조	조/NNG
작가가	작가/NNG+가/JKS
모녀에게	모녀/NNG+에게/JKB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
패럴림픽	패럴림픽/NNG
결승에서	결승/NNG+에서/JKB
최예진이	최예진/NNP+이/JKS
승리했던	승리하/VV+였/EP+던/ETM
장면을	장면/NNG+을/JKO
포착한	포착하/VV+ㄴ/ETM
사진이었다	사진/NNG+이/VCP+었/EP+다/EF

