사랑의집	사랑의집/NNG
재발방지,	재발방지/NNG+,/SP
출생신고요건	출생신고요건/NNG
강화로	강화/NNG+로/JKB

‘원주	‘/SN+원/NNB+주/NNG
귀래	귀래/NNG
사랑의	사랑/NNG+의/JKG
집’	집/NNG+’/SL
사건의	사건/NNG+의/JKG
재발방지를	재발방지/NNG+를/JKO
위해	위하/VV+여/EC
출생신고	출생신고/NNG
요건과	요건/NNG+과/JC
심사를	심사/NNG+를/JKO
보다	보다/MAG
강화해야	강화하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

공익변호사그룹	공익변호사그룹/NNG
공감의	공감/NNG+의/JKG
염형국	염형국/NNG
변호사는	변호사/NNG+는/JX
7일	7/SN+일/NNB
이룸센터에서	이룸센터/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘원주	‘/SN+원/NNB+주/NNG
귀래	귀래/NNG
사랑의	사랑/NNG+의/JKG
집	집/NNG
사건	사건/NNG
토론회’에서	토론회/NNG+’/SL+에서/JKB
“장씨는	“/SN+장/NNP+씨/NNB+는/JX
손쉬운	손쉽/VA+ㄴ/ETM
입양	입양/NNG
절차	절차/NNG
방법으로	방법/NNG+으로/JKB
21명이나	21/SN+명/NNB+이나/JX
되는	되/VV+는/ETM
장애인을	장애인/NNG+을/JKO
자신의	자신/NNG+의/JKG
친자로	친자/NNG+로/JKB
등록했다”며	등록하/VV+였/EP+다/EC+”/VX+며/EC
제도적	제도적/NNG
개선의	개선/NNG+의/JKG
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

장씨가	장/NNP+씨/NNB+가/JKS
병원이	병원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
집	집/NNG
등에서	등/NNB+에서/JKB
출산하는	출산하/VV+는/ETM
경우	경우/NNG
2인의	2/SN+인/NNB+의/JKG
도움이	도움/NNG+이/JKS
있다면	있/VA+다면/EC
누구라도	누구/NP+라도/JX
자신의	자신/NNG+의/JKG
자녀로	자녀/NNG+로/JKB
가족관계등록이	가족관계등록/NNG+이/JKS
가능하다는	가능하/VA+다는/ETM
허점을	허점/NNG+을/JKO
이용했다는	이용하/VV+였/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

가족관계등록예규에	가족관계등록예규/NNG+에/JKB
의하면	의하/VV+면/EC
병원에서	병원/NNG+에서/JKB
출산하는	출산하/VV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
출생증명서를	출생증명서/NNG+를/JKO
요구하지만	요구하/VV+지만/EC
병원이	병원/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
출산하는	출산하/VV+는/ETM
경우	경우/NNG
2인의	2/SN+인/NNB+의/JKG
인우보증만으로	인우보증/NNG+만/JX+으로/JKB
출생신고가	출생신고/NNG+가/JKS
가능하다	가능하/VA+다/EC

염	염/NNP
변호사는	변호사/NNG+는/JX
"현재에도	"/SS+현재/NNG+에/JKB+도/JX
입양기관을	입양기관/NNG+을/JKO
통해서	통하/VV+여서/EC
아동을	아동/NNG+을/JKO
입양한	입양하/VV+ㄴ/ETM
양부모의	양부모/NNG+의/JKG
97%	97/SN+%/SW
이상이	이상/NNG+이/JKS
입양신고	입양신/VV+고/EC
대신	대신/NNG
허위의	허위/NNG+의/JKG
친생자출생신고를	친생자출생신고/NNG+를/JKO
하고	하/VV+고/EC
있었다"면서	있/VX+었/EP+다/EF+"/SS+면서/EC
“인우보증	“/SN+인우보증/NNG
외에	외/NNB+에/JKB
공적인	공적/NNG+이/VCP+ㄴ/ETM
증명(통·반장의	증명/NNG+(/SS+통/NNG+·/SP+반장/NNG+의/JKG
확인서	확인서/NNG
등)이	등/NNB+)/SS+이/JKS
있어야	있/VA+어야/EC
