검찰	검찰/NNG
미신고시설장	미/XPN+신고시설장/NNG
불기소처분에	불기소처분/NNG+에/JKB
반발	반발/NNG

장애인	장애인/NNG
인권단체가	인권단체/NNG+가/JKS
심각한	심각하/VA+ㄴ/ETM
장애인	장애인/NNG
인권침해로	인권침해/NNG+로/JKB
복지시설장을	복지시설장/NNG+을/JKO
고발한	고발하/VV+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+여/EC
최근	최근/NNG
검찰이	검찰/NNG+이/JKS
'혐의	'/SS+혐의/NNG
없음'	없/VA+음/ETN+'/SS
판단을	판단/NNG+을/JKO
내리자	내리/VV+자/EC
반발하고	반발하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

장애우권익문제연구소(이하	장애우권익문제연구소/NNG+(/SS+이하/NNG
연구소)는	연구소/NNG+)/SS+는/JX
4일	4/SN+일/NNB
성명서를	성명서/NNG+를/JKO
통해	통하/VV+여/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
17일	17/SN+일/NNB
수원지방검찰청	수원/NNP+지방검찰청/NNG
평택지청이	평택/NNP+지청/NNG+이/JKS
내린	내리/VV+ㄴ/ETM
불기소	불기소/NNG
처분에	처분/NNG+에/JKB
즉각	즉각/MAG
항고할	항고하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
밝히며,	밝히/VV+며/EC+,/SP
검찰이	검찰/NNG+이/JKS
인권유린에	인권유린/NNG+에/JKB
동조했다고	동조하/VV+였/EP+다고/EC
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

연구소	연구소/NNG
인권센터는	인권센터/NNG+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
장애인	장애인/NNG
인권침해에	인권침해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제보를	제보/NNG+를/JKO
접수하고,	접수하/VV+고/EC+,/SP
이후	이후/NNG
KBS	KBS/SL
호루라기	호루라기/NNG
인권수사대	인권수사대/NNG
측과	측/NNB+과/JKB
함께	함께/MAG
현장조사를	현장조사/NNG+를/JKO
했다	하/VV+였/EP+다/EF

그곳은	그곳/NP+은/JX
경기도	경기도/NNP
평택시의	평택시/NNP+의/JKG
한	한/MM
미신고	미신고/NNG
복지시설이었다	복지시설/NNG+이/VCP+었/EP+다/EF

연구소는	연구소/NNG+는/JX
"시설장에	"/SS+시설장/NNG+에/JKB
의해	의하/VV+여/EC
인권침해가	인권침해/NNG+가/JKS
참혹하게	참혹하/VA+게/EC
자행되고	자행되/VV+고/EC
있어	있/VX+어/EC
시설폐쇄와	시설폐쇄/NNG+와/JC
장애인	장애인/NNG
분리	분리/NNG
조치를	조치/NNG+를/JKO
이끌어냈다"면서	이끌/VV+어/EC+내/VX+었/EP+다/EF+"/SS+면서/EC
"목사를	"/SS+목사/NNG+를/JKO
사칭하던	사칭하/VV+던/ETM
유모씨는	유/NNP+모/NP+씨/NNB+는/JX
지적장애인	지적장애인/NNG
또는	또는/MAG
정신장애인들을	정신장애인/NNG+들/XSN+을/JKO
모두	모두/MAG
철조망	철조망/NNG
속에	속/NNG+에/JKB
가뒀고,	가두/VV+었/EP+고/EC+,/SP
장애인들은	장애인/NNG+들/XSN+은/JX
영화에서나	영화/NNG+에서/JKB+나/JX
보았던	보/VV+았/EP+던/ETM
강제수용소	강제수용소/NNG
수용자와	수용자/NNG+와/JKB
같이	같이/MAG
생활하고	생활하/VV+고/EC
있었을	있/VX+었/EP+을/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
배변처리를	배변처리/NNG+를/JKO
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
장애인을	장애인/NNG+을/JKO
‘똥방’	‘/SL+똥방’/NNG
이라	이/VCP+라/EC
부르는	부르/VV+는/ETM
골방에	골방/NNG+에/JKB
가뒀다"고	가두/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

또한	또한/MAG
"말을	"/SS+말/NNG+을/JKO
듣지	듣/VV+지/EC
않거나	않/VX+거나/EC
밖으로	밖/NNG+으로/JKB
나가고	나가/VV+고/EC
싶어	싶/VX+어/EC
철조망	철조망/NNG
부근을	부근/NNG+을/JKO
헤매는	헤매/VV+는/ETM
장애인들에게는	장애인/NNG+들/XSN+에게/JKB+는/JX
폭언과	폭언/NNG+과/JC
욕설을	욕설/NNG+을/JKO
퍼붓고,	퍼붓/VV+고/EC+,/SP
‘정신병,	‘/SL+정신병/NNG+,/SP
지적장애는	지적장애/NNG+는/JX
신앙의	신앙/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
치료할	치료하/VV+ㄹ/ETM
수	수/NNB
있다’고	있/VA+다/EC+’/VX+고/EC
유인해	유인하/VV+여/EC
금전을	금전/NNG+을/JKO
취득하는	취득하/VV+는/ETM
등	등/NNB
가히	가히/MAG
상상할	상상하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없는	없/VA+는/ETM
인권	인권/NNG
유린이	유린/NNG+이/JKS
이곳에서	이곳/NP+에서/JKB
자행됐다"고	자행되/VV+었/EP+다/EF+"/SS+고/JKQ
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
연구소는	연구소/NNG+는/JX
"인권침해에	"/SS+인권침해/NNG+에/JKB
대응하고자	대응하/VV+고자/EC
유씨를	유/NNP+씨/NNB+를/JKO
평택경찰서에	평택/NNP+경찰서/NNG+에/JKB
고발,	고발/NNG+,/SP
수원지방검찰청	수원지방검찰청/NNG
평택지청으로	평택/NNP+지청/NNG+으로/JKB
송치됐지만	송치되/VV+었/EP+지만/EC
8월	8/SN+월/NNB
17일	17/SN+일/NNB
검찰로부터	검찰/NNG+로부터/JKB
모두	모두/MAG
증거	증거/NNG
불충분으로	불충분/NNG+으로/JKB
감금,	감금/NNG+,/SP
학대,	학대/NNG+,/SP
횡령,	횡령/NNG+,/SP
장애인차별금지법	장애인차별금지법/NNG
위반	위반/NNG
모두	모두/MAG
'혐의	'/SS+혐의/NNG
없음'으로	없/VA+음/ETN+'/SS+으로/JKB
처리됐다"고	처리되/VV+었/EP+다/EF+"/SS+고/JKQ
비판했다	비판하/VV+였/EP+다/EF

연구소	연구소/NNG
관계자는	관계자/NNG+는/JX
“인간을	“/SN+인간/NNG+을/JKO
인간	인간/NNG
이하로	이하/NNG+로/JKB
대우한	대우하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
명백함에도	명백하/VA+ㅁ에도/EC
불구하고,	불구하/VV+고/EC+,/SP
사실을	사실/NNG+을/JKO
인정하지	인정하/VV+지/EC
않고	않/VX+고/EC
'혐의	'/SS+혐의/NNG
없음'이라고	없/VA+음/ETN+'/SS+이라고/JKQ
결정한	결정하/VV+ㄴ/ETM
검찰은	검찰/NNG+은/JX
어떤	어떤/MM
잣대로	잣대/NNG+로/JKB
판단한	판단하/VV+ㄴ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EC+,/SP
그	그/MM
기준과	기준/NNG+과/JC
수사능력이	수사능력/NNG+이/JKS
의심스러울	의심스럽/VA+ㄹ/ETM
따름”이라며	따름/NNB+”/SL+이/VCP+라며/EC
“장애인에	“/SL+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
참혹한	참혹하/VA+ㄴ/ETM
인권유린의	인권유린/NNG+의/JKG
현장을	현장/NNG+을/JKO
묵과하며	묵과하/VV+며/EC
무성의한	무성의하/VA+ㄴ/ETM
수사	수사/NNG
활동을	활동/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
검찰과	검찰/NNG+과/JC
경찰은	경찰/NNG+은/JX
각성하고	각성하/VV+고/EC
사과해야	사과하/VV+여야/EC
한다”고	하/VX+ㄴ다”고/EC
촉구했다	촉구하/VV+였/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“검찰의	“/SL+검찰/NNG+의/JKG
불기소	불기소/NNG
처분에	처분/NNG+에/JKB
현재	현재/MAG
항고준비를	항고준비/NNG+를/JKO
하고	하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
다음	다음/NNG
주	주/NNG
내로	내/NP+로/JKB
즉각	즉각/MAG
항고할	항고하/VV+ㄹ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“불기소	“/SL+불기소/NNG
처분을	처분/NNG+을/JKO
이끌어낸	이끌/VV+어/EC+내/VX+ㄴ/ETM
담당	담당/NNG
경찰과	경찰/NNG+과/JC
검사를	검사/NNG+를/JKO
엄중	엄중/NNG
문책하고	문책하/VV+고/EC
징계해야	징계하/VV+여야/EC
할	하/VX+ㄹ/ETM
뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
항고에	항고/NNG+에/JKB
따라	따르/VV+아/EC
책임	책임/NNG
있고	있/VA+고/EC
성의	성의/NNG
있는	있/VA+는/ETM
수사를	수사/NNG+를/JKO
통해	통하/VV+여/EC
가해자를	가해자/NNG+를/JKO
반드시	반드시/MAG
엄벌에	엄벌/NNG+에/JKB
처해야	처하/VV+여야/EC
한다”고	하/VX+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
