"자식에	"/SS+자식/NNG+에/JKB
짐될라"	짐되/VV+ㄹ라/EF+"/SS
50대	50/SN+대/NNB
가장의	가장/NNG+의/JKG
안타까운	안타깝/VA+ㄴ/ETM
선택	선택/NNG

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
김선호	김선호/NNP
기자	기자/NNG
=	=/SW
자녀에게	자녀/NNG+에게/JKB
부담이	부담/NNG+이/JKC
되는	되/VV+는/ETM
것을	것/NNB+을/JKO
우려해	우려하/VV+여/EC
50대	50/SN+대/NNB
가장이	가장이/MAG
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊어	끊/VV+어/EC
주위를	주위/NNG+를/JKO
안타깝게	안타깝/VA+게/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
오후	오후/NNG
5시36분께	5/SN+시/NNB+36/SN+분/NNB+께/JKB
부산	부산/NNP
강서구	강서구/NNP
대저동	대저동/NNP
낙동강	낙동강/NNP
대저생태공원	대저생태공원/NNP
습지에서	습지/NNG+에서/JKB
김모(57)씨가	김/NNP+모/NP+(/SS+57/SN+)/SS+씨/NNB+가/JKS
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다	발견되/VV+었/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
추석	추석/NNG
전날	전날/NNG
집을	집/NNG+을/JKO
나온	나오/VV+ㄴ/ETM
이후	이후/NNG
그동안	그동안/NNG
행방이	행방/NNG+이/JKS
묘연했다	묘연하/VA+었/EP+다/EC

경찰은	경찰/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
집에서	집/NNG+에서/JKB
아들과	아들/NNG+과/JC
결혼을	결혼/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
딸에게	딸/NNG+에게/JKB
남긴	남기/VV+ㄴ/ETM
유서	유서/NNG
1통씩을	1/SN+통/NNG+씩/XSN+을/JKO
발견했다	발견하/VV+었/EP+다/EC

유서에서	유서/NNG+에서/JKB
김씨는	김/NNP+씨/NNB+는/JX
"눈이	"/SS+눈/NNG+이/JKS
갈수록	갈수록/MAG
안보이고	안/NNG+보이/VV+고/EC
내가	내/NP+가/JKS
지금	지금/MAG
죽지	죽/VV+지/EC
않으면	않/VX+으면/EC
너희에게	너희/NP+에게/JKB
짐만	짐/NNG+만/JX
될	되/VV+ㄹ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"장례비용도	"/SS+장례비용/NNG+도/JX
없으니	없/VA+으니/EC
안	안/MAG
보이더라도	보이/VV+더라도/EC
찾지	찾/VV+지/EC
말라"고	말/VX+라/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

시각장애	시각장애/NNG
4급인	4/SN+급/NNG+이/VCP+ㄴ/ETM
김씨는	김/NNP+씨/NNB+는/JX
눈	눈/NNG
상태가	상태/NNG+가/JKS
악화되고	악화되/VV+고/EC
최근에는	최근/NNG+에/JKB+는/JX
뇌경색으로	뇌경색/NNG+으로/JKB
쓰러져	쓰러지/VV+어/EC
2개월간	2/SN+개월/NNB+간/XSN
병원치료를	병원치료/NNG+를/JKO
받는	받/VV+는/ETM
등	등/NNB
건강문제로	건강문제/NNG+로/JKB
고민을	고민/NNG+을/JKO
해왔다고	하/VV+여/EC+오/VX+았/EP+다고/EC
경찰은	경찰/NNG+은/JX
전했다	전하/VV+었/EP+다/EC

특히	특히/MAG
김씨는	김/NNP+씨/NNB+는/JX
딸	딸/NNG
결혼	결혼/NNG
상견례를	상견례/NNG+를/JKO
앞두고	앞두/VV+고/EC
날짜를	날짜/NNG+를/JKO
연기하고	연기하/VV+고/EC
경제적으로도	경제적/NNG+으로/JKB+도/JX
어렵게	어렵/VA+게/EC
생활을	생활/NNG+을/JKO
해온	하/VV+여/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

경찰은	경찰/NNG+은/JX
김씨의	김/NNP+씨/NNB+의/JKG
시신에서	시신/NNG+에서/JKB
별다른	별다르/VA+ㄴ/ETM
외상이	외상/NNG+이/JKS
없고	없/VA+고/EC
유서내용으로	유서내용/NNG+으로/JKB
미뤄	미루/VV+어/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다	있/VX+다/EC

wink@yna	wink/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
