`도가니'	`/SW+도가니/NNG+'/SS
피해자	피해자/NNG
국가배상	국가배상/NNG
서울서	서울/NNP+서/JKB
첫	첫/MM
재판	재판/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
한지훈	한지훈/NNP
기자	기자/NNG
=	=/SW
영화	영화/NNG
`도가니'로	`/SW+도가니/NNG+'/SS+로/JKB
널리	널리/MAG
알려진	알려지/VV+ㄴ/ETM
인화학교	인화학교/NNG
성폭력	성폭력/NNG
피해자들의	피해자/NNG+들/XSN+의/JKG
국가배상	국가배상/NNG
청구소송	청구소송/NNG
첫	첫/MM
변론기일이	변론기일/NNG+이/JKS
3일	3/SN+일/NNB
오전	오전/NNG
서울중앙지법	서울중앙/NNP+지법/NNG
457호	457/SN+호/NNB
법정에서	법정/NNG+에서/JKB
열렸다	열리/VV+었/EP+다/EC

이날	이날/NNG
서울중앙지법	서울중앙/NNP+지법/NNG
민사합의10부(성지호	민사합의/NNG+10/SN+부/NNB+(/SS+성지호/NNP
부장판사)	부장판사/NNG+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
첫	첫/MM
재판에서	재판/NNG+에서/JKB
원고와	원고/NNG+와/JC
피고	피고/NNG
측은	측/NNB+은/JX
기본	기본/NNG
사실	사실/NNG
관계와	관계/NNG+와/JC
쟁점을	쟁점/NNG+을/JKO
정리했다	정리하/VV+였/EP+다/EC

재판이	재판/NNG+이/JKS
서울에서	서울/NNP+에서/JKB
진행되기까지는	진행되/VV+기/ETN+까지는/JX
우여곡절이	우여곡절/NNG+이/JKS
많았다	많/VA+았/EP+다/EC

광주지법으로	광주/NNP+지법/NNG+으로/JKB
사건을	사건/NNG+을/JKO
이송해달라는	이송하/VV+여/EC+달/VX+라는/ETM
피고	피고/NNG
측	측/NNB
요청을	요청/NNG+을/JKO
서울중앙지법이	서울중앙/NNP+지법/NNG+이/JKS
받아들였기	받아들이/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

하지만,	하지만/MAJ+,/SP
원고	원고/NNG
측	측/NNB
항고에	항고/NNG+에/JKB
서울고법은	서울/NNP+고법/NNG+은/JX
지난달	지난달/NNG
초	초/NNB
1심	1/SN+심/NNG
법원의	법원/NNG+의/JKG
결정을	결정/NNG+을/JKO
취소하고	취소하/VV+고/EC
원래대로	원래/NNG+대로/JX
서울에서	서울/NNP+에서/JKB
재판을	재판/NNG+을/JKO
열도록	열/VV+도록/EC
했다	하/VX+였/EP+다/EC

당시	당시/NNG
재판부는	재판부/NNG+는/JX
"성폭력	"/SS+성폭력/NNG
사건	사건/NNG
피해자들이	피해자/NNG+들/XSN+이/JKS
작년	작년/NNG
11월부터	11/SN+월/NNB+부터/JX
서울	서울/NNP
소재	소재/NNG
병원에서	병원/NNG+에서/JKB
정기적으로	정기적/NNG+으로/JKB
통원치료를	통원치료/NNG+를/JKO
받고	받/VV+고/EC
있고,	있/VX+고/EC+,/SP
서울에	서울/NNP+에/JKB
있는	있/VA+는/ETM
소송대리인을	소송대리인/NNG+을/JKO
선임한	선임하/VV+ㄴ/ETM
점을	점/NNG+을/JKO
고려했다"고	고려하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

피해자	피해자/NNG
8명은	8/SN+명/NNB+은/JX
올해	올해/NNG
3월	3/SN+월/NNB
"관계	"/SS+관계/NNG
기관의	기관/NNG+의/JKG
미흡한	미흡하/VA+ㄴ/ETM
대처로	대처/NNG+로/JKB
정신적·육체적	정신적/NNG+·/SP+육체/NNG+적/XSN
고통을	고통/NNG+을/JKO
받았다"며	받/VV+았/EP+다/EF+"/SS+며/EC
국가와	국가/NNG+와/JC
