檢,	檢/SL+,/SP
‘노숙소녀	‘/SL+노숙소녀/NNG
살인사건’	살인사건’/NNG
재심	재심/NNG
징역	징역/NNG
20년	20/SN+년/NNB
구형	구형/NNG

일명	일명/NNG
‘수원역	‘/SL+수원역/NNP
노숙소녀	노숙소녀/NNG
살인사건'으로	살인사건/NNG+'/SS+으로/JKB
징역	징역/NNG
5년을	5/SN+년/NNB+을/JKO
확정받고	확정/NNG+받/VV+고/EC
만기출소한	만기출소한/NNG
지적장애인	지적장애/NNG+이/VCP+ㄴ/ETM
정모씨에	정/NNP+모/NP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
재심	재심/NNG
공판에서	공판/NNG+에서/JKB
검찰이	검찰/NNG+이/JKS
원심과	원심/NNG+과/JC
같은	같/VA+은/ETM
징역	징역/NNG
20년을	20/SN+년/NNB+을/JKO
구형했다	구형하/VV+였/EP+다/EC

9일	9/SN+일/NNB
서울고법	서울/NNP+고법/NNG
형사10부(부장판사	형사/NNG+10/SN+부/NNB+(/SS+부장판사/NNG
권기훈)	권기훈/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
정씨에	정/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
재심사건	재심사건/NNG
결심공판에서	결심공판/NNG+에서/JKB
검찰은	검찰/NNG+은/JX
"원심과	"/SS+원심/NNG+과/JKB
같이	같이/MAG
구형한다"고	구형하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이	이/NP
같은	같/VA+은/ETM
구형에	구형/NNG+에/JKB
대해	대하/VV+여/EC
정씨	정/NNP+씨/NNB
측	측/NNB
박준영	박준영/NNP
변호사는	변호사/NNG+는/JX
“CCTV	“CCTV/SL
녹화	녹화/NNG
영상에	영상/NNG+에/JKB
범행과	범행/NNG+과/JKB
관련된	관련되/VV+ㄴ/ETM
모습이	모습/NNG+이/JKS
보이지	보이/VV+지/EC
않는다는	않/VX+는다는/ETM
점을	점/NNG+을/JKO
근거로	근거/NNG+로/JKB
대법원에서	대법원/NNG+에서/JKB
재심이	재심/NNG+이/JKS
결정됐는데도,	결정되/VV+었/EP+는데/EC+도/JX+,/SP
검찰이	검찰/NNG+이/JKS
원심과	원심/NNG+과/JC
같은	같/VA+은/ETM
구형을	구형/NNG+을/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
납득할	납득하/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다”며/EC
“거짓구형에	“/SN+거짓구형/NNG+에/JKB
불과하다고	불과하/VA+다고/EC
생각된다”고	생각되/VV+ㄴ다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
박	박/NNP
변호사는	변호사/NNG+는/JX
