심상정,	심상정/NNP+,/SP
文·安	文/SL+·/SP+安/SN
토론	토론/NNG
장애인	장애인/NNG
의제	의제/NNG
없어	없/VA+어/EC
‘실망’	‘/SN+실망/NNG+’/SN

진보정의당	진보정의당/NNP
심상정	심상정/NNP
대선	대선/NNG
후보가	후보/NNG+가/JKS
민주통합당	민주통합당/NNP
문재인	문재/NNG+이/VCP+ㄴ/ETM
대선후보와	대선후보/NNG+와/JC
무소속	무소속/NNG
안철수	안철수/NNP
후보간	후보/NNG+간/NNB
단일화	단일화/NNG
TV토론에	TV/SL+토론/NNG+에/JKB
대해	대하/VV+여/EC
장애인	장애인/NNG
등	등/NNB
절박한	절박하/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
문제가	문제/NNG+가/JKS
의제가	의제/NNG+가/JKC
되지	되/VV+지/EC
않은	않/VX+은/ETM
점에	점/NNG+에/JKB
대해	대하/VV+여/EC
'실망'했다고	'/SS+실망/NNG+'/SS+하/XSV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

심상정	심상정/NNP
후보는	후보/NNG+는/JX
22일	22/SN+일/NNB
트위터를	트위터/NNG+를/JKO
통해	통하/VV+여/EC
"정권교체를	"/SS+정권교체/NNG+를/JKO
바라는	바라/VV+는/ETM
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
늦게까지	늦/VA+게/EC+까지/JX
문재인·안철수	문재인/NNP+·/SP+안철수/NNP
후보의	후보/NNG+의/JKG
토론을	토론/NNG+을/JKO
봤을	보/VV+았/EP+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"토론에서	"/SS+토론/NNG+에서/JKB
비정규직을	비정규직/NNG+을/JKO
포함한	포함하/VV+ㄴ/ETM
노동자과	노동자/NNG+과/JC
장애인	장애인/NNG
등	등/NNB
매우	매우/MAG
절박한	절박하/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
문제가	문제/NNG+가/JKS
의제가	의제/NNG+가/JKC
되지	되/VV+지/EC
않고,	않/VX+고/EC+,/SP
심지어	심지어/MAG
단어조차	단어/NNG+조차/JX
언급되지	언급되/VV+지/EC
않은	않/VX+은/ETM
것에	것/NNB+에/JKB
큰	크/VA+ㄴ/ETM
실망을	실망/NNG+을/JKO
느꼈다"고	느끼/VV+었/EP+다/EF+"/SS+고/JKQ
말문을	말문/NNG+을/JKO
열었다	열/VV+었/EP+다/EC

심	심/NNP
후보는	후보/NNG+는/JX
"비정규직	"/SS+비정규직/NNG
노동자와	노동자/NNG+와/JC
장애인	장애인/NNG
등	등/NNB
가난한	가난하/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
대신해	대신하/VV+여/EC
두	두/MM
후보에게	후보/NNG+에게/JKB
묻는다"면서	묻/VV+는다/EF+"/SS+면서/EC
"우리	"/SS+우리/NP
사회에	사회/NNG+에/JKB
노동과	노동/NNG+과/JC
장애인	장애인/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
토론	토론/NNG
대상도	대상/NNG+도/JX
되지	되/VV+지/EC
못할	못하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
가치	가치/NNG
없는	없/VA+는/ETM
것인지	것/NNB+이/VCP+ㄴ지/EC
묻고	묻/VV+고/EC
싶다	싶/VX+다/EC

이런	이런/MM
토론이	토론/NNG+이/JKS
결국	결국/NNG
노동의	노동/NNG+의/JKG
가치를	가치/NNG+를/JKO
결여하고	결여하/VV+고/EC
가난한	가난하/VA+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
외면하는	외면하/VV+는/ETM
정부와	정부/NNG+와/JC
정책을	정책/NNG+을/JKO
낳는다"고	낳/VV+는다/EF+"/SS+고/JKQ
질타했다	질타하/VA+었/EP+다/EC

특히	특히/MAG
심	심/NNP
후보는	후보/NNG+는/JX
"다음	"/SS+다음/NNG
정부는	정부/NNG+는/JX
비정규직의	비/XPN+정규직/NNG+의/JKG
설움을	설움/NNG+을/JKO
닦고,	닦/VV+고/EC+,/SP
장애인들의	장애인/NNG+들/XSN+의/JKG
고통을	고통/NNG+을/JKO
덜며,	덜/VV+며/EC+,/SP
가난한	가난하/VA+ㄴ/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
희망을	희망/NNG+을/JKO
주는	주/VV+는/ETM
정부여야	정부/NNG+이/VCP+어야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"	"/SS
내	나/NP+의/JKG
삶이	삶/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
확신이	확신/NNG+이/JKS
설	서/VV+ㄹ/ETM
때	때/NNG
비정규직	비정규직/NNG
노동자,	노동자/NNG+,/SP
장애인,	장애인/NNG+,/SP
가난한	가난하/VA+ㄴ/ETM
서민들도	서민/NNG+들/XSN+도/JX
투표장으로	투표장/NNG+으로/JKB
나와	나오/VV+아/EC
야당에게	야당/NNG+에게/JKB
표를	표/NNG+를/JKO
줄	주/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
