<국감현장>'대통령	</SS+국감현장/NNG+>'/SS+대통령/NNG
울린	울리/VV+ㄴ/ETM
합창단'에	합창단/NNG+'/SS+에/JKB
국감도	국감/NNG+도/JX
눈물바다	눈물바다/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
하채림	하채림/NNP
기자	기자/NNG
=	=/SW
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
이명박	이명박/NNP
대통령	대통령/NNG
부부를	부부/NNG+를/JKO
울린	울리/VV+ㄴ/ETM
중증장애인	중증장애인/NNG
합창단	합창단/NNG
'영혼의	'/SS+영혼/NNG+의/JKG
소리로'가	소리/NNG+로/JKB+'/SS+가/JKS
이번에는	이번/NNG+에/JKB+는/JX
국정감사	국정감사/NNG
현장을	현장/NNG+을/JKO
눈물바다로	눈물바다/NNG+로/JKB
만들었다	만들/VV+었/EP+다/EC

국회	국회/NNG
보건복지위	보건복지위/NNG
오제세	오제세/NNP
위원장(민주통합당)을	위원장/NNG+(/SS+민주통합당/NNP+)/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
보건복지위원회	보건복지위원회/NNG
국회의원	국회의원/NNG
14명이	14/SN+명/NNB+이/JKS
국정감사	국정감사/NNG
현장시찰을	현장시찰/NNG+을/JKO
위해	위하/VV+여/EC
12일	12/SN+일/NNB
오후	오후/NNG
경기도	경기도/NNP
고양시에	고양시/NNP+에/JKB
있는	있/VA+는/ETM
중증장애인요양시설인	중증장애인요양시설/NNG+이/VCP+ㄴ/ETM
홀트일산복지타운을	홀트일산복지/NNP+타운/NNG+을/JKO
방문했다	방문하/VV+였/EP+다/EC

이날	이날/NNG
감사의	감사/NNG+의/JKG
주인공은	주인공/NNG+은/JX
피감기관을	피감기관/NNG+을/JKO
질타하는	질타하/VV+는/ETM
여야	여야/NNG
국회의원이	국회의원/NNG+이/JKC
아니라	아니/VCN+라/EC
중증	중증/NNG
장애인으로만	장애인/NNG+으로/JKB+만/JX
구성된	구성되/VV+ㄴ/ETM
'영혼의	'/SS+영혼/NNG+의/JKG
소리로'	소리/NNG+로/JKB+'/SS
합창단이었다	합창단/NNG+이/VCP+었/EP+다/EF

이들은	이/NP+들/XSN+은/JX
모두	모두/MAG
뇌병변,	뇌병변/NNG+,/SP
정신지체,	정신지체/NNG+,/SP
다운증후군	다운증후군/NNG
등	등/NNB
중증	중증/NNG
장애를	장애/NNG+를/JKO
갖고	갖/VV+고/EC
있어	있/VX+어/EC
짧은	짧/VA+은/ETM
동요	동요/NNG
한곡을	한/MM+곡/NNG+을/JKO
외우는	외우/VV+는/ETM
데도	데/NNB+도/JX
한달이나	한/MM+달/NNB+이나/JX
필요할	필요하/VA+ㄹ/ETM
정도라고	정도/NNG+이/VCP+라고/EC
홀트	홀트/NNP
측은	측/NNB+은/JX
설명했다	설명하/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
1999년	1999/SN+년/NNB
구성된	구성되/VV+ㄴ/ETM
합창단은	합창단/NNG+은/JX
재정적	재정적/NNG
어려움을	어려움/NNG+을/JKO
겪다	겪/VV+다/EC
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
JW중외제약[001060]과	JW/SL+중외제약/NNP+[/SS+001060/SN+]/SS+과/JC
후원	후원/NNG
결연을	결연/NNG+을/JKO
맺은	맺/VV+은/ETM
이후	이후/NNG
국내외에서	국내외/NNG+에서/JKB
활발한	활발하/VA+ㄴ/ETM
공연을	공연/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
4월에는	4/SN+월/NNB+에/JKB+는/JX
이명박	이명박/NNP
대통령	대통령/NNG
부부가	부부/NNG+가/JKS
이들의	이/NP+들/XSN+의/JKG
공연을	공연/NNG+을/JKO
보고	보/VV+고/EC
눈물을	눈물/NNG+을/JKO
주체하지	주체하/VV+지/EC
못해	못하/VX+여/EC
'대통령을	'/SS+대통령/NNG+을/JKO
울린	울리/VV+ㄴ/ETM
합창단'으로	합창단/NNG+'/SS+으로/JKB
유명해졌다	유명하/VA+여/EC+지/VX+었/EP+다/EF

이날	이날/NNG
합창단은	합창단/NNG+은/JX
'똑바로	'/SS+똑바로/MAG
보고	보/VV+고/EC
싶어요'와	싶/VX+어요/EF+'/SS+와/JC
'어느	'/SS+어느/MM
산골	산골/NNG
소년의	소년/NNG+의/JKG
슬픈	슬프/VA+ㄴ/ETM
사랑	사랑/NNG
이야기'	이야기/NNG+'/SS
등	등/NNB
2곡의	2/SN+곡/NNG+의/JKG
노래를	노래/NNG+를/JKO
보건복지위에	보건복지위/NNG+에/JKB
선사했다	선사하/VV+였/EP+다/EC

공연	공연/NNG
중	중/NNB
신경림(새누리당)	신경림/NNP+(/SS+새누리당/NNP+)/SS
의원	의원/NNG
등	등/NNB
여러	여러/MM
의원들이	의원/NNG+들/XSN+이/JKS
눈물을	눈물/NNG+을/JKO
쏟아냈고	쏟/VV+아/EC+내/VX+었/EP+고/EC
남윤인순(민주통합당)	남윤인순/NNP+(/SS+민주통합당/NNP+)/SS
의원	의원/NNG
등이	등/NNB+이/JKS
감사	감사/NNG
인사를	인사/NNG+를/JKO
전했다	전하/VV+었/EP+다/EC

오제세	오제세/NNP
위원장에게	위원장/NNG+에게/JKB
안겨	안기/VV+어/EC
있던	있/VX+던/ETM
다운증후군	다운증후군/NNG
아동	아동/NNG
하진우(5)군은	하진우/NNP+(/SS+5/SN+)/SS+군/NNB+은/JX
자리를	자리/NNG+를/JKO
뜨는	뜨/VV+는/ETM
오	오/NNP
위원장의	위원장/NNG+의/JKG
품에서	품/NNG+에서/JKB
떨어지지	떨어지/VV+지/EC
않으려고	않/VX+으려고/EC
해	하/VX+여/EC
주변의	주변/NNG+의/JKG
눈시울을	눈시울/NNG+을/JKO
붉게	붉/VA+게/EC
만들었다	만들/VV+었/EP+다/EC

김성주(민주통합당)	김성주/NNP+(/SS+민주통합당/NNP+)/SS
의원은	의원/NNG+은/JX
이날	이날/NNG
국감에서	국감/NNG+에서/JKB
"장애인	"/SS+장애인/NNG
시설에	시설/NNG+에/JKB
지원하는	지원하/VV+는/ETM
한끼	한/MM+끼/NNG
식대가	식대/NNG+가/JKS
고작	고작/MAG
1천500원"이라며	1/SN+천/NR+500/SN+원/NNB+"/SS+이/VCP+라며/EC
중증	중증/NNG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
확대를	확대/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EC

tree@yna	tree/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
