검찰,	검찰/NNG+,/SP
천안	천안/NNP
특수학교	특수학교/NNG
성폭력	성폭력/NNG
피해학생	피해학생/NNG
6명	6/SN+명/NNB
확인	확인/NNG

(천안=연합뉴스)	(/SS+천안/NNG+=/SW+연합뉴스/NNP+)/SS
정태진	정태진/NNP
기자	기자/NNG
=	=/SW
충남	충남/NNP
천안의	천안/NNP+의/JKG
한	한/MM
특수학교에서	특수학교/NNG+에서/JKB
발생한	발생하/VV+ㄴ/ETM
교사의	교사/NNG+의/JKG
성폭력	성폭력/NNG
피해	피해/NNG
학생은	학생/NNG+은/JX
모두	모두/MAG
6명이었던	6/SN+명/NNB+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

대전지검	대전/NNP+지검/NNG
천안지청은	천안지청/NNG+은/JX
지적장애여학생을	지적장애여학생/NNG+을/JKO
성폭력한	성폭력하/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
재판을	재판/NNG+을/JKO
받는	받/VV+는/ETM
특수학교	특수학교/NNG
교사	교사/NNG
A(47)씨가	A/SL+(/SS+47/SN+)/SS+씨/NNB+가/JKS
또	또/MAG
다른	다른/MM
5명의	5/SN+명/NNB+의/JKG
학생도	학생/NNG+도/JX
성폭력한	성폭력하/VA+ㄴ/ETM
사실을	사실/NNG+을/JKO
밝혀내고	밝혀내/VV+고/EC
추가기소	추가기소/NNG
했다고	하/VX+였/EP+다고/EC
12일	12/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

또	또/MAG
이를	이/NP+를/JKO
목격한	목격하/VV+ㄴ/ETM
한	한/MM
학생에게는	학생/NNG+에게/JKB+는/JX
협박을	협박/NNG+을/JKO
한	한/MM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다	있/VX+다/EC

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
속칭	속칭/NNG
'천안판	'/SS+천안판/NNP
도가니'	도가니/NNG+'/SS
사건으로	사건/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
특수학교	특수학교/NNG
교사	교사/NNG
A씨의	A/SL+씨/NNB+의/JKG
범행은	범행/NNG+은/JX
2010년부터	2010/SN+년/NNB+부터/JX
2011년까지	2011/SN+년/NNB+까지/JX
교실과	교실/NNG+과/JC
기숙사	기숙사/NNG
등지에서	등지/NNB+에서/JKB
모두	모두/MAG
6명의	6/SN+명/NNB+의/JKG
학생에	학생/NNG+에/JKB
대해	대하/VV+여/EC
추행하는	추행하/VV+는/ETM
등	등/NNB
성폭력을	성폭력/NNG+을/JKO
한	한/MM
혐의다	혐의/NNG+이/VCP+다/EF

검찰은	검찰/NNG+은/JX
A씨에	A/SL+씨/NNB+에/JKB
대해	대하/VV+여/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
12일	12/SN+일/NNB
학교에서	학교/NNG+에서/JKB
장애	장애/NNG
학생을	학생/NNG+을/JKO
성폭행한	성폭행하/VV+ㄴ/ETM
혐의(성폭력범죄의	혐의/NNG+(/SS+성폭력범죄/NNG+의/JKG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특별법위반)로	특별법위반/NNG+)/SS+로/JKB
구속기소했으며	구속기소하/VV+였/EP+으며/EC
재판이	재판/NNG+이/JKS
진행되는	진행되/VV+는/ETM
과정에서	과정/NNG+에서/JKB
피해	피하/VV+여/EC
진정이	진정/NNG+이/JKS
이어지자	이어지/VV+자/EC
수사를	수사/NNG+를/JKO
벌여	벌이/VV+어/EC
추가	추가/NNG
범죄사실을	범죄사실/NNG+을/JKO
확인했다	확인하/VV+였/EP+다/EC

A씨는	A/SL+씨/NNB+는/JX
범죄사실을	범죄사실/NNG+을/JKO
전면	전면/NNG
부인하고	부인하/VV+고/EC
있다고	있/VX+다고/EC
검찰은	검찰/NNG+은/JX
밝혔다	밝히/VV+었/EP+다/EC

jtj@yna	jtj/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
